GrLivArea,LotArea,ListingPrice,hiResImageLink,zpid,address.city,address.community,address.neighborhood,address.state,address.streetAddress,address.subdivision,address.zipcode,YearBuilt,GarageType,BldgType,FullBath,HalfBath,BedroomAbvGr,Fireplaces,Foundation,PoolArea,PoolQC,Fence
1404.0,4330,239900,https://photos.zillowstatic.com/fp/df0bd099740dd14f22d5c172cd5a73f6-p_f.jpg,115842056,Ames,,,IA,108 N Russell Ave,,50010,1958,Attchd,1Fam,2.0,1.0,6.0,0.0,BrkTil,0.0,NA,NA
2021.0,8001,405000,https://photos.zillowstatic.com/fp/4f94778f62cb29b2e0d3ee2ea06f11c3-p_f.jpg,93952548,Ames,,,IA,2739 Somerset Dr,,50010,2002,Attchd,1Fam,3.0,1.0,4.0,1.0,PConc,0.0,NA,NA
2215.0,49658,924900,https://photos.zillowstatic.com/fp/17839d6b2aea5f4ac2bc1c07d49bd460-p_f.jpg,117852871,Ames,,,IA,2329 163rd Pl,,50014,2010,Attchd,1Fam,3.0,1.0,4.0,3.0,CBlock,0.0,NA,NA
1050.0,8702,470000,https://photos.zillowstatic.com/fp/737c4d70a7bbc5b9a4a36bfe2f98da37-p_f.jpg,115844692,Ames,,,IA,103 S Hyland Ave,,50014,1895,NA,1Fam,1.0,0.0,5.0,0.0,BrkTil,0.0,NA,NA
644.0,2689,69900,https://photos.zillowstatic.com/fp/a102ce12ae9f0e644619d8833eb4a0d0-p_f.jpg,115841598,Ames,,,IA,2200 Hamilton Dr UNIT 410,,50014,1986,NA,TwnhsE,1.0,0.0,1.0,0.0,PConc,0.0,NA,NA
1363.0,13361,419000,https://photos.zillowstatic.com/fp/efa8f79819ac7fac8b282108ee0491b4-p_f.jpg,93960733,Ames,,,IA,4917 Utah Dr,,50014,1987,Attchd,1Fam,3.0,0.0,3.0,1.0,CBlock,0.0,NA,NA
1481.0,10454,456726,https://photos.zillowstatic.com/fp/0b0d4789c23d70e651ffa28d7668830a-p_f.jpg,2064400466,Ames,,,IA,4522 Everest Ave,,50014,2022,Attchd,1Fam,2.0,0.0,3.0,1.0,PConc,0.0,NA,NA
1478.0,12039,366000,https://photos.zillowstatic.com/fp/693321084451d1b85c7791d7fe12dfa1-p_f.jpg,93957699,Ames,,,IA,2310 Hamilton Dr,,50014,1997,Attchd,TwnhsE,2.0,1.0,2.0,0.0,PConc,0.0,NA,NA
1690.0,6534,465500,https://photos.zillowstatic.com/fp/dfa3079623164725deb63d49c1ab9318-p_f.jpg,245078317,Ames,,,IA,3924 Aldrin Ave,,50014,2022,Attchd,TwnhsE,2.0,0.0,2.0,1.0,PConc,0.0,NA,NA
1501.0,13494,452072,https://photos.zillowstatic.com/fp/cdbc36760f5a9ec1a443db1605264855-p_f.jpg,2064416491,Ames,,,IA,4517 Aldrin Ave,,50014,2022,Attchd,1Fam,2.0,0.0,3.0,1.0,PConc,0.0,NA,NA
3592.0,13454,785000,https://photos.zillowstatic.com/fp/71e94f9c1d19c13cb4973b8ea061da07-p_f.jpg,337473872,Ames,,,IA,2934 Green Hills Dr,,50014,2021,Attchd,1Fam,3.0,0.0,3.0,1.0,Slab,0.0,NA,NA
1306.0,9557,239000,https://photos.zillowstatic.com/fp/852903738ce0ad4a39d9f3d799d173ee-p_f.jpg,121768313,Ames,,,IA,2423 Hamilton Dr,,50014,1986,Attchd,TwnhsE,2.0,0.0,2.0,0.0,,0.0,NA,NA
1073.0,10016,150000,https://photos.zillowstatic.com/fp/641c8264e27f946d44233dc27f1726a0-p_f.jpg,93958674,Ames,,,IA,3477 Southdale Dr,,50010,1975,Attchd,1Fam,2.0,1.0,3.0,0.0,PConc,0.0,NA,NA
806.0,6858,470000,https://photos.zillowstatic.com/fp/0f775d533194816aa931b81453962cc9-p_f.jpg,115844693,Ames,,,IA,109 S Hyland Ave,,50014,1915,NA,1Fam,1.0,1.0,4.0,0.0,Slab,0.0,NA,NA
960.0,13068,250000,https://photos.zillowstatic.com/fp/b6edd6f04a229487f2fdc5a2528c71db-p_f.jpg,93960248,Ames,,,IA,1214 Garfield Cir,,50014,1965,Attchd,1Fam,2.0,0.0,4.0,0.0,CBlock,0.0,NA,NA
1337.0,10018,374900,https://photos.zillowstatic.com/fp/3fbaabc22c58d9562bc0740c62e7e78e-p_f.jpg,307088542,Ames,,,IA,1611 Ledges Dr,,50010,2020,Attchd,1Fam,2.0,0.0,3.0,1.0,PConc,0.0,NA,NA
1980.0,7426,224900,https://photos.zillowstatic.com/fp/dd66b7b6f44e5e497248b20a1d5d6ad4-p_f.jpg,115841933,Ames,,,IA,312 E 6th St,,50010,1947,BuiltIn,2fmCon,1.0,0.0,4.0,0.0,CBlock,0.0,NA,NA
