dateSold,propertyType,lotAreaValue,address,variableData,priceChange,zestimate,imgSrc,price,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,listingSubType,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,unit,newConstructionType
,SINGLE_FAMILY,10016.0,"3477 Southdale Dr, Ames, IA 50010",,,150061.0,https://photos.zillowstatic.com/fp/641c8264e27f946d44233dc27f1726a0-p_e.jpg,150000,3.0,,-93.60384,41.99008,FOR_SALE,93958674,{'is_FSBA': True},1591.0,6,3.0,1073.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,7840.8,"3726 Columbine Ave, Ames, IA 50010",,,299902.0,https://photos.zillowstatic.com/fp/762c92355733f63d86059751374a38eb-p_e.jpg,299900,3.0,,-93.635414,42.05788,FOR_SALE,93951995,{'is_FSBA': True},1597.0,1,3.0,1591.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,0.26795224977043,"829 Ridgewood Ave, Ames, IA 50010","{'text': 'Open: Sat. 12-1pm', 'type': 'OPEN_HOUSE'}",,229901.0,https://photos.zillowstatic.com/fp/991ee4e05f85fc50376ed67b63ec5f1a-p_e.jpg,229900,2.0,,-93.62633,42.029896,FOR_SALE,93959628,"{'is_FSBA': True, 'is_openHouse': True}",874.0,-1,1.0,816.0,USA,USD,acres,True,,
,SINGLE_FAMILY,0.29,"4213 Wembley Ave, Ames, IA 50010","{'text': 'Open: Thu. 5:30-6:30pm', 'type': 'OPEN_HOUSE'}",,430003.0,https://photos.zillowstatic.com/fp/24e843c0db70d5bda831f8d2a6a53f47-p_e.jpg,430000,5.0,,-93.658844,42.061768,FOR_SALE,115839248,"{'is_FSBA': True, 'is_openHouse': True}",2536.0,-1,4.0,2114.0,USA,USD,acres,True,,
,SINGLE_FAMILY,0.2639577594123,"3121 Sycamore Rd, Ames, IA 50014",,,527503.0,https://photos.zillowstatic.com/fp/9c2b14bbb4671becedc5ce8d620c5ead-p_e.jpg,527500,4.0,,-93.65414,42.049835,FOR_SALE,93953632,{'is_FSBA': True},3018.0,1,4.0,1574.0,USA,USD,acres,True,,
,SINGLE_FAMILY,1.52,"423 W Riverside Rd, Ames, IA 50010","{'text': '$30,000 (Apr 10)', 'type': 'PRICE_REDUCTION'}",-30000.0,660001.0,https://photos.zillowstatic.com/fp/f3b4b0078ed5e0cb352a73b8a29b3b3b-p_e.jpg,660000,5.0,,-93.61602,42.067413,FOR_SALE,240055767,{'is_FSBA': True},3921.0,-1,4.0,1764.0,USA,USD,acres,True,,
,SINGLE_FAMILY,0.65039026629936,"1425 Edgewater Ct, Ames, IA 50010","{'text': '$13,000 (Apr 4)', 'type': 'PRICE_REDUCTION'}",-13000.0,1162000.0,https://photos.zillowstatic.com/fp/be96e235585d66ad7a8064f2b21e974a-p_e.jpg,1162000,6.0,,-93.630035,42.061813,FOR_SALE,93952255,{'is_FSBA': True},6714.0,-1,5.0,4052.0,USA,USD,acres,True,,
,SINGLE_FAMILY,0.6623,"3816 Calhoun Ave, Ames, IA 50010",,,410003.0,https://photos.zillowstatic.com/fp/b3eb5fcc5b97b9af09ad805b75625004-p_e.jpg,410000,3.0,,-93.62353,42.05895,FOR_SALE,93952243,{'is_FSBA': True},1340.0,15,4.0,1860.0,USA,USD,acres,True,,
,SINGLE_FAMILY,9147.6,"521 Brown Ct, Ames, IA 50014","{'text': 'Open: Sun. 2-3:30pm', 'type': 'OPEN_HOUSE'}",,459003.0,https://photos.zillowstatic.com/fp/09313f8daf6208d87d7834e012a802e0-p_e.jpg,459000,4.0,,-93.68583,42.017467,FOR_SALE,93961273,"{'is_FSBA': True, 'is_openHouse': True}",2336.0,-1,4.0,2278.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,0.3,"1214 Garfield Cir, Ames, IA 50014",,,251191.0,https://photos.zillowstatic.com/fp/b6edd6f04a229487f2fdc5a2528c71db-p_e.jpg,250000,4.0,,-93.66883,42.033867,FOR_SALE,93960248,{'is_FSBA': True},1595.0,33,2.0,960.0,USA,USD,acres,True,,
